# no	arxiv	source	title per Semantic Scholar	entry
23	2210.02747	id		Y. Lipman, R. T. Chen, H. Ben-Hamu, M. Nickel, and M. Le (2022) Flow matching for generative modeling. arXiv preprint ar
24	2209.03003	id		X. Liu, C. Gong, and Q. Liu (2022a) Flow straight and fast: learning to generate and transfer data with rectified flow. 
25	2210.01117	id		Z. Liu, E. J. Michaud, and M. Tegmark (2022b) Omnigrok: grokking beyond algorithmic data. arXiv preprint arXiv:2210.0111
26	2503.03595	s2	Towards Understanding Text Hallucination of Diffusion Models via Local Generation Bias	R. Lu, R. Wang, K. Lyu, X. Jiang, G. Huang, and M. Wang (2025) Towards understanding text hallucination of diffusion mod
27	2301.05217	id		N. Nanda, L. Chan, T. Lieberum, J. Smith, and J. Steinhardt (2023) Progress measures for grokking via mechanistic interp
28	2310.09336	s2	Compositional Abilities Emerge Multiplicatively: Exploring Diffusion Models on a Synthetic Task	M. Okawa, E. S. Lubana, R. P. Dick, and H. Tanaka (2025) Compositional abilities emerge multiplicatively: exploring diff
29	2209.11895	s2	In-context Learning and Induction Heads	C. Olsson, N. Elhage, N. Nanda, N. Joseph, N. DasSarma, T. Henighan, B. Mann, A. Askell, Y. Bai, A. Chen, T. Conerly, D.
30	2406.19370	s2	Emergence of Hidden Capabilities: Exploring Learning Dynamics in Concept Space	C. F. Park, M. Okawa, A. Lee, H. Tanaka, and E. S. Lubana (2024) Emergence of hidden capabilities: exploring learning dy
31	2307.12868	s2	Understanding the Latent Space of Diffusion Models through the Lens of Riemannian Geometry	Y. Park, M. Kwon, J. Choi, J. Jo, and Y. Uh (2023) Understanding the latent space of diffusion models through the lens o
32	2212.09748	s2	Scalable Diffusion Models with Transformers	W. Peebles and S. Xie (2023) Scalable diffusion models with transformers. In Proceedings of the IEEE/CVF international c
33	2505.21777	id		B. Pham, G. Raya, M. Negri, M. J. Zaki, L. Ambrogioni, and D. Krotov (2025) Memorization to generalization: emergence of
34	2201.02177	id		A. Power, Y. Burda, H. Edwards, I. Babuschkin, and V. Misra (2022) Grokking: generalization beyond overfitting on small 
35		s2	Probabilistic weather forecasting with machine learning	I. Price, A. Sanchez-Gonzalez, F. Alet, T. R. Andersson, A. El-Kadi, D. Masters, T. Ewalds, J. Stott, S. Mohamed, P. Bat
36	2204.06125	id		A. Ramesh, P. Dhariwal, A. Nichol, C. Chu, and M. Chen (2022) Hierarchical text-conditional image generation with clip l
37	2112.10752	s2	High-Resolution Image Synthesis with Latent Diffusion Models	R. Rombach, A. Blattmann, D. Lorenz, P. Esser, and B. Ommer (2022) High-resolution image synthesis with latent diffusion
38	2205.11487	s2	Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding	C. Saharia, W. Chan, S. Saxena, L. Li, J. Whang, E. L. Denton, K. Ghasemipour, R. Gontijo Lopes, B. Karagol Ayan, T. Sal
39	2002.05202	s2	GLU Variants Improve Transformer	N. Shazeer (2020) GLU variants improve transformer. External Links: 2002.05202, Link Cited by: Appendix A.
