# no	arxiv	source	title per Semantic Scholar	entry
20	2402.15555	s2	Deep Networks Always Grok and Here is Why	Deep networks always grok and here is why. In High-dimensional Learning Dynamics Workshop: The Emergence of Structure an
21	1912.02178	s2	Fantastic Generalization Measures and Where to Find Them	Fantastic generalization measures and where to find them. In International Conference on Learning Representations, Cited
22	1909.10351	s2	TinyBERT: Distilling BERT for Natural Language Understanding	Tinybert: distilling bert for natural language understanding. In Findings of the Association for Computational Linguisti
23	1609.04836	s2	On Large-Batch Training for Deep Learning: Generalization Gap and Sharp Minima	On large-batch training for deep learning: generalization gap and sharp minima. In International Conference on Learning 
24	2310.06110	s2	Grokking as the Transition from Lazy to Rich Training Dynamics	Grokking as the transition from lazy to rich training dynamics. In International Conference on Learning Representations,
25	2311.18817	s2	Dichotomy of Early and Late Phase Implicit Biases Can Provably Induce Grokking	Dichotomy of early and late phase implicit biases can provably induce grokking. In International Conference on Learning 
26	2011.11619	s2	Neural collapse with unconstrained features	Neural collapse with unconstrained features. Sampling Theory, Signal Processing, and Data Analysis 20, pp. 11. Cited by:
27		s2	Grokking modular arithmetic can be explained by margin maximization	Grokking modular arithmetic can be explained by margin maximization. In NeurIPS 2023 Workshop on Mathematics of Modern M
28	2405.15706	s2	The Impact of Geometric Complexity on Neural Collapse in Transfer Learning	The impact of geometric complexity on neural collapse in transfer learning. In Advances in Neural Information Processing
29	2305.18741	s2	Grokking of Hierarchical Structure in Vanilla Transformers	Grokking of hierarchical structure in vanilla transformers. In Annual Meeting of the Association for Computational Lingu
30	2301.05217	s2	Progress measures for grokking via mechanistic interpretability	Progress measures for grokking via mechanistic interpretability. In International Conference on Learning Representations
31	2008.08186	s2	Prevalence of neural collapse during the terminal phase of deep learning training	Prevalence of neural collapse during the terminal phase of deep learning training. Proceedings of the National Academy o
32	2001.00939	s2	Relative Flatness and Generalization	Relative flatness and generalization. In Advances in neural information processing systems, Cited by: Appendix D, §1, §1
33	2201.02177	id		Grokking: generalization beyond overfitting on small algorithmic datasets. arXiv preprint arXiv:2201.02177. Cited by: §1
34		s2	Neural Collapse in Deep Homogeneous Classifiers and The Role of Weight Decay	Neural collapse in deep homogeneous classifiers and the role of weight decay. In International Conference on Acoustics, 
35	1910.01108	id		DistilBERT, a distilled version of bert: smaller, faster, cheaper and lighter. arXiv preprint arXiv:1910.01108. Cited by
36	2305.13165	s2	Deep Neural Collapse Is Provably Optimal for the Deep Unconstrained Features Model	Deep neural collapse is provably optimal for the deep unconstrained features model. In Advances in Neural Information Pr
37	2405.16918	id		The uncanny valley: exploring adversarial robustness from a flatness perspective. arXiv preprint arXiv:2405.16918. Cited
38	2510.14231	id		When flatness does (not) guarantee adversarial robustness. arXiv preprint arXiv:2510.14231. Cited by: §7.
39		s2	Neural Collapse Beyond the Unconstrainted Features Model: Landscape, Dynamics, and Generalization in	Neural collapse beyond the unconstrainted features model: landscape, dynamics, and generalization in the mean-field regi
40	2405.17767	s2	Linguistic Collapse: Neural Collapse in (Large) Language Models	Linguistic collapse: neural collapse in (large) language models. In Advances in Neural Information Processing Systems, C
41	2405.17816	s2	Pursuing Feature Separation based on Neural Collapse for Out-of-Distribution Detection	Pursuing feature separation based on neural collapse for out-of-distribution detection. In International Conference on L
42	2203.09081	s2	Inducing Neural Collapse in Imbalanced Learning: Do We Really Need a Learnable Classifier at the End	Inducing neural collapse in imbalanced learning: do we really need a learnable classifier at the end of deep neural netw
43	1611.03530	s2	Understanding deep learning requires rethinking generalization	Understanding deep learning requires rethinking generalization. In International Conference on Learning Representations,
44	1902.01996	s2	Are All Layers Created Equal?	Are all layers created equal?. Journal of Machine Learning Research 23 (67). Cited by: §7.
45		s2	Are all layers created equal: A neural collapse perspective	Are all layers created equal: a neural collapse perspective. In The Second Conference on Parsimony and Learning, Cited b
46	2210.02192	s2	Are All Losses Created Equal: A Neural Collapse Perspective	Are all losses created equal: a neural collapse perspective. In Advances in Neural Information Processing Systems, Cited
47	2105.02375	s2	A Geometric Analysis of Neural Collapse with Unconstrained Features	A geometric analysis of neural collapse with unconstrained features. In Advances in Neural Information Processing System
48	2210.15435	s2	Grokking phase transitions in learning local rules with gradient descent	Grokking phase transitions in learning local rules with gradient descent. Journal of Machine Learning Research 25 (199).
